,entity,year,recycled,incinerated,littered/mismanaged,landfilled
19,Americas (excl. USA),2019,9.554245,1.1592599,29.180883,60.10561
39,Asia (excl. China and India),2019,8.351267,18.513683,33.74583,39.38922
59,China,2019,12.801141,23.762764,27.052067,36.384026
79,Europe,2019,12.384406,37.74739,5.667553,44.200645
99,India,2019,13.333093,4.1608157,46.214355,36.29173
119,Middle East & North Africa,2019,5.4478326,0.6075314,39.797066,54.14757
139,Oceania,2019,6.8709826,11.508256,6.7546487,74.86611
159,Sub-Saharan Africa,2019,5.7193336,0.5053036,63.607426,30.167952
179,United States,2019,4.488883,19.078592,3.552523,72.880005
199,World,2019,9.292344,19.048033,22.45448,49.205143
